Date,Time,ICL1021
18/03/11,24:00:00,0.0
18/03/12,24:00:00,0.0
18/03/13,24:00:00,0.0
18/03/14,24:00:00,0.0
18/03/15,24:00:00,0.0
18/03/16,24:00:00,0.0
18/03/17,24:00:00,0.0
18/03/18,24:00:00,0.0
18/03/19,24:00:00,0.0
18/03/20,24:00:00,0.0
18/03/21,24:00:00,0.0
18/03/22,24:00:00,0.0
18/03/23,24:00:00,0.0
18/03/24,24:00:00,0.0
18/03/25,24:00:00,0.0
18/03/26,24:00:00,0.0
18/03/27,24:00:00,0.0
18/03/28,24:00:00,0.0
18/03/29,24:00:00,0.0
18/03/30,24:00:00,0.0
18/03/31,24:00:00,0.0
18/04/01,24:00:00,0.0
18/04/02,24:00:00,0.0
18/04/03,24:00:00,0.0
18/04/04,24:00:00,0.0
18/04/05,24:00:00,0.0
18/04/06,24:00:00,0.0
18/04/07,24:00:00,0.0
18/04/08,24:00:00,0.0
18/04/09,24:00:00,0.0
18/04/10,24:00:00,0.0
18/04/11,24:00:00,0.0
18/04/12,24:00:00,0.0
18/04/13,24:00:00,0.0
18/04/14,24:00:00,0.0
18/04/15,24:00:00,0.0
18/04/16,24:00:00,0.0
18/04/17,24:00:00,0.0
18/04/18,24:00:00,0.0
18/04/19,24:00:00,0.0
18/04/20,24:00:00,0.0
18/04/21,24:00:00,0.0
18/04/22,24:00:00,0.0
18/04/23,24:00:00,0.0
18/04/24,24:00:00,0.0
18/04/25,24:00:00,0.0
18/04/26,24:00:00,0.0
18/04/27,24:00:00,0.0
18/04/28,24:00:00,0.0
18/04/29,24:00:00,0.0
18/04/30,24:00:00,0.0
18/05/01,24:00:00,0.0
18/05/02,24:00:00,0.0
18/05/03,24:00:00,0.0
18/05/04,24:00:00,0.0
18/05/05,24:00:00,0.0
18/05/06,24:00:00,0.0
18/05/07,24:00:00,0.0
18/05/08,24:00:00,0.0
18/05/09,24:00:00,0.0
18/05/10,24:00:00,0.0
18/05/11,24:00:00,0.0
18/05/12,24:00:00,0.0
18/05/13,24:00:00,0.0
18/05/14,24:00:00,0.0
18/05/15,24:00:00,0.0
18/05/16,24:00:00,0.0
18/05/17,24:00:00,0.0
18/05/18,24:00:00,0.0
18/05/19,24:00:00,0.0
18/05/20,24:00:00,0.0
18/05/21,24:00:00,0.0
18/05/22,24:00:00,0.0
18/05/23,24:00:00,0.0
18/05/24,24:00:00,0.0
18/05/25,24:00:00,0.0
18/05/26,24:00:00,0.0
18/05/27,24:00:00,0.0
18/05/28,24:00:00,0.0
